gene,logFC,logCPM,LR,PValue,FDR
IPCEF1,-0.033033933423048,1.91915483879268,0.068394121210076,0.793689448463903,0.81223232020703
GLCE,0.214399106612482,6.02050521001399,5.42119757355476,0.01989371032542,0.024878413626373
ZNF451,-0.324592665947874,5.23563040270662,41.8379407594043,9.9160465864807E-11,2.10609928426208E-10
SIPA1L1,-0.173523733316701,5.80887442972429,9.85231035749439,0.001696186048898,0.002310977845233
SS18L1,0.373857997519992,4.83811259637204,26.9181552824334,2.12255641414454E-07,3.74807122075582E-07
SETBP1,-0.762805001053326,5.07426266569367,55.2106158650106,1.08282338780345E-13,2.66862298768109E-13
UBXN7,-0.313450152841169,4.52824828729649,12.4552519361478,0.000416818150451,0.000594661626082
RNF160,-0.327735067183913,5.5804418262603,22.7773322580583,1.81898580842059E-06,3.03667253052436E-06
CNTNAP2,3.91301272304516,5.31460759276844,164.415506708036,1.2274182786369E-37,7.99997392723825E-37
ZNF500,0.29166904934372,4.00144029473838,22.0268922287444,2.68856989564411E-06,4.44404788632938E-06
FAM169A,0.417669188339081,3.00557248902899,9.63721172869828,0.00190674465169,0.002586968032944
SLITRK5,-0.513545244024749,1.32632786941117,5.9985935100276,0.014317287914297,0.018123873260316
PPP1R16B,-1.75553812399383,4.00781607066205,244.738957475915,3.64285923362775E-55,4.0639028139639E-54
DNM3,-0.416120186775058,2.35239438835923,15.2282653826719,9.52668117872722E-05,0.000142136708871
AUTS2,-0.030374490350927,6.55771985016363,0.110533575553291,0.739537483514551,0.761630021574041
SENP6,-0.290658199771605,6.53394525394477,33.3659532071749,7.63489414214157E-09,1.46888617050658E-08
RAB11FIP5,-0.055082407430201,5.89458452094919,1.26548804879872,0.260614828531127,0.289026483082439
ANKRD17,-0.161049738748992,7.26506507502905,6.50974593571573,0.010728483539137,0.013738547321442
GIGYF2,-0.160631948512943,6.75566743329881,11.0368916285097,0.00089316492593,0.001243517363922
APPL1,-0.178800502930596,6.53859253856792,9.80142893743641,0.001743763209532,0.002373411211804
HACL1,-0.500625292650092,4.30400202927358,98.8272535754329,2.75516591513356E-23,1.04302709644342E-22
DECR2,0.821931067453774,4.69436841711171,81.8606696748091,1.46026471098434E-19,4.72468441031714E-19
RAI14,0.681874658674121,6.21643757574986,73.0183721822305,1.28448568116864E-17,3.80012817831635E-17
LSM14A,0.124575866229449,7.46817832932343,6.87024181768311,0.008764279146674,0.011308820770354
FAM127B,0.374255369888713,5.6004463473102,25.4274064727772,4.59345817711723E-07,7.93255712335424E-07
POLDIP2,0.447642774459096,7.11575683789059,60.8812748029586,6.06227310723452E-15,1.58506729961453E-14
C20orf26,1.25547274501258,0.46050984074736,42.4875079492306,7.11351002038508E-11,1.52171078330358E-10
SGEF,0.296330423261298,4.74707917230755,8.16060892677956,0.004280999542682,0.005669298078354
KLK13,1.62039187351321,1.25137789130009,18.7712091073201,1.47375203909439E-05,2.32063746227878E-05
GPSM1,0.584717169515085,4.22871622475476,39.401061617624,3.451092933984E-10,7.12661218328115E-10
GGA1,0.384069707981149,5.85098748846489,49.19870483361,2.3130337550234E-12,5.34492035897028E-12
ABHD12,1.09650943059685,6.4862010489534,232.246444147402,1.92948185623429E-52,1.98314515423722E-51
HERC4,-0.091955070654805,5.66601292116274,3.38927099462626,0.065621956918667,0.078041028858078
TOR1AIP1,-0.324611171421839,6.67885659739829,34.543656572816,4.16797614371917E-09,8.12482574717404E-09
CCDC9,0.592002939246249,4.58543349905317,67.8629967545314,1.75259541021829E-16,4.93130614857E-16
DCAF4,0.355638286058282,4.29302138253978,28.7506343147602,8.23229529796987E-08,1.49626035968593E-07
PTPN20B,-0.000537634762628,1.89631993172475,8.64167441250174E-06,0.997654484075919,0.997922508653547
C1orf77,0.529478283268029,6.84725158015789,145.500327466144,1.66946839390148E-33,9.57757811647715E-33
C10orf137,-0.018200925711929,4.53902489635613,0.095306315057314,0.757536652060258,0.778068507526443
C1orf144,0.037354914965525,7.31755947224741,1.23342270365106,0.266742434892472,0.295206590090926
WIPI2,0.008098495496253,6.48741042538282,0.042624761169464,0.836433442613452,0.851877402779329
CCDC69,-2.85164977259054,5.24776708730097,1068.09263071851,2.84355806368742E-234,5.2936387803121E-232
TANC2,0.933281611956466,6.47132651012893,67.0741945875427,2.61478778704018E-16,7.30208785156373E-16
WSB1,-0.677822463208752,6.21798156630278,128.104719199668,1.06474292435518E-29,5.24032266107788E-29
LDLRAP1,0.197156444057822,5.52306435948781,11.5767111155624,0.000667829539286,0.000938920544565
PRPF31,0.576286892118954,5.94481178190167,83.1428004901823,7.63348745536394E-20,2.49584036603151E-19
EPC2,-0.567320573574653,5.09582643014289,117.203243866,2.59107288092833E-27,1.15812870395155E-26
TCTN3,-0.005312042867974,6.05579711381336,0.015066561201138,0.902308298832286,0.912800644281178
FGFR1OP2,-0.446659752447562,4.74216357394521,78.4664714096864,8.13676194339031E-19,2.53888111508301E-18
KIAA1279,0.220013438999801,5.55826323846408,17.3894777167282,3.04507068809993E-05,4.69269844348844E-05
GAPVD1,0.080551467180903,6.20932989493195,2.10977535628399,0.146360801751257,0.168007559515867
TRPC4AP,0.187288252900718,7.02564928620495,15.4546273273222,8.45097781207851E-05,0.000126581929554
SERBP1,-0.022787686818301,8.38745419954947,0.213509009022573,0.644030871417702,0.670784793903339
TES,-0.376084598894578,6.3491262492775,23.9701344009802,9.78416976741794E-07,1.65982048463556E-06
TTLL3,-0.446967249819151,4.84898799170483,27.2713760073789,1.76809565287524E-07,3.14264811532055E-07
IRF2BP1,0.497995052110401,5.16621040144488,52.1506398787092,5.14020992069429E-13,1.22387124458673E-12
TRAF3IP1,0.146710780735078,5.07774692775841,7.54359412549911,0.006022379257258,0.007879407386309
PHF19,0.190035068369384,4.74874077417912,6.66595530047152,0.009827196343891,0.012629999581427
C10orf12,0.107098268170788,2.85047945604972,1.68497703677144,0.194264431922187,0.219429668912941
ZNF658,-0.957783054922705,1.57441249866295,177.349321719572,1.83735970406394E-40,1.3124123775839E-39
RIBC2,2.03797662047504,1.49222986539367,234.181909270256,7.30083925979738E-53,7.62492279776735E-52
NAT9,0.677075651888512,4.89454488105962,89.7609885778381,2.68741524261963E-21,9.3295280205907E-21
ZNF337,-0.100733365708736,4.79232769795544,2.9312736506356,0.086878927962064,0.102138291296102
KIF26A,-1.21470414534121,2.5933855489195,132.224948727891,1.3359061382787E-30,6.84169536361236E-30
ABCA12,1.20164691543659,4.77366186948066,21.265247488313,3.99916496572569E-06,6.53925821635405E-06
NOC2L,0.781043066896817,6.76719953097961,135.081605958135,3.16873777255161E-31,1.65877018090022E-30
RSL1D1,-0.05697769095798,7.94200084678531,1.47128358333839,0.225143282331044,0.252033892344876
GIMAP2,-0.16869864664446,3.53618469304464,3.32929243913941,0.068056146439869,0.080832617348192
IFT172,-0.124478406840057,5.01259166463658,5.6817179575055,0.017142574617655,0.021553766465238
GTPBP5,0.675351547471016,4.91086894244501,108.842011496309,1.75750632625802E-25,7.29502277507264E-25
RGS22,0.401488860012324,2.86238154612687,2.88651605329846,0.089323894018793,0.104880223401284
PCDHB5,-0.485967040305778,2.18134449074642,9.64814707727419,0.00189542681883,0.002572081240349
SENP3,-0.011110306343885,5.53972878207899,0.050903138652529,0.82149913154978,0.83804278143509
INTS1,0.361775203361093,6.9863863599029,36.9610494867279,1.20512800758891E-09,2.41333486849827E-09
C14orf109,0.291347537035302,4.20367201858693,28.4703255493594,9.5145636827344E-08,1.72238236206349E-07
FBXW2,-0.072073019352928,6.7102184248717,2.05894434288211,0.151314966795675,0.17337542702631
PTPN22,0.428580089986597,2.36687685628907,10.7467141303343,0.001044646352678,0.001445903171973
GMEB2,0.401933684526353,4.91979115491376,66.4689897065311,3.55441590558869E-16,9.85587713310972E-16
PITPNC1,-0.148256172603141,4.04999879266343,3.11961361918497,0.077355123817177,0.091447043896588
FBXL3,-0.656540743728214,6.19673745801608,109.872154671606,1.04518799924195E-25,4.38849305686786E-25
ARL5A,-0.007357080959455,5.57249409685915,0.020449527189385,0.886288725407549,0.897802883110776
PHGDH,-0.014347358796717,6.64640106426593,0.008272121299569,0.927531364762506,0.935635641791385
B3GAT3,0.941370409277451,5.37722882305192,142.04086566302,9.52677321471125E-33,5.30202666243254E-32
TIAM2,-0.243721761365474,2.59535432320534,4.7408617263543,0.029454314222823,0.036181384173581
LRRC29,-0.175014266536477,1.42711222423865,4.29311212837183,0.038267058658371,0.046496802202751
FBXO2,-0.328036127856708,4.23423883998325,4.53532978214616,0.033202058869151,0.040584230362628
FBXL6,1.72381423163383,4.8353750088101,299.022412205504,5.37967406434632E-67,8.06842757707047E-66
FBXL5,-0.677961245837924,7.12337376666719,143.356853815517,4.91142127391288E-33,2.76752921045723E-32
FBXL4,-0.266495687051419,4.09377590147183,18.1419172551241,2.05037857685982E-05,3.19818686061722E-05
FAM50B,0.034072153502124,3.48792858433942,0.134525465126444,0.713785266100395,0.738171235888701
KLHL3,-1.28518108164071,2.83371472439081,259.152438527542,2.62582295128625E-58,3.19757818589584E-57
CLEC4E,0.727856124684445,0.925301043847605,14.871059565804,0.000115115596569,0.000170690619245
CABYR,0.915630525386516,3.37864953119961,61.4571735444822,4.52478770598209E-15,1.19122614999454E-14
PLDN,-0.281832473092947,6.02247325123165,38.9778509913392,4.28641232742732E-10,8.80760744927912E-10
FBXW8,0.121794687367055,4.74921623890669,4.78177763035001,0.028762414954044,0.0353606278612
FBXO25,-0.284908187334638,4.74994329242453,20.6302841880924,5.57079031932715E-06,9.03668230320654E-06
TSPAN17,0.870909316958777,5.64233008788832,227.085898646131,2.57559024282239E-51,2.57265362081515E-50
FBXO22,0.437287126145328,4.79208467752063,83.3403194296277,6.90762484859863E-20,2.2614916876276E-19
FBXO10,-0.074638849564848,3.46922780811527,1.4029400725899,0.236231926332049,0.263733289270106
FBXO9,-0.181817179644519,5.84130293019189,13.3791022804483,0.000254443487051,0.000368657150759
FBXO8,-0.42467355293656,4.55906930070618,92.0024237604332,8.65703867829977E-22,3.0719389334267E-21
FBXO6,1.03503459863085,4.34919518168901,188.056888159769,8.44270430814157E-43,6.53859569740782E-42
FBXO5,0.845484214015076,3.67093476028684,80.7831051704807,2.51902427844474E-19,8.05925425969441E-19
FBXO4,0.085183872691904,3.76273696942732,2.2510688570303,0.133522147620309,0.153840735301661
FBXO3,-0.244929457146098,5.42729950756086,18.726980402919,1.50833162626778E-05,2.37308080604331E-05
HIBCH,-0.536626106052107,4.79442154561982,102.657708619936,3.98358391063052E-24,1.56232591127039E-23
VPS33B,0.210120033983518,4.05618858755485,23.4694386203705,1.26913872761885E-06,2.13863804824932E-06
TINF2,-0.030880223368805,5.99508223331932,0.591660821183723,0.441777607153636,0.473065423018342
SACS,-1.29829798915183,4.66474917243039,234.866264025071,5.17772145913633E-53,5.43423577807733E-52
PLA2G2D,1.36477972753106,2.60448102462289,27.4954886134271,1.57461375754658E-07,2.8096706989925E-07
ERAL1,0.624340955534253,6.02725837818938,96.5304160218886,8.78833068290306E-23,3.26803018378216E-22
ARFGAP3,-0.076607212393851,5.91405539499373,1.42416918584468,0.232718392674726,0.260005628064868
AK5,-2.5018230897565,4.26291610357836,264.680762030408,1.63778186727765E-59,2.05661765171721E-58
MYCBP,0.609350607209356,5.63389705923594,124.684962894978,5.96515082939961E-29,2.84466830938996E-28
SERGEF,-0.03291965378652,4.10099223567617,0.228287402725755,0.632796611346887,0.659914567102386
EHF,-0.969082627374676,6.95703532594249,43.0359881774609,5.37421365630769E-11,1.15712250951844E-10
GBGT1,-0.062404899904011,2.67615560504074,0.499707651560357,0.479628605717894,0.510659767297441
HSPB8,-0.4190397070286,5.97978457734926,6.38889158606753,0.011483671371559,0.014662750148887
